#
#   VizieR Astronomical Server vizier.unistra.fr
#    Date: 2025-12-15T04:11:56 [V7.5.3]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-12-15T04:11:56	  Query execution date
#INFO	request=https://vizier.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=9999&-out.all=2&-order=I&-out.src=J/ApJS/234/35/table4&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/ApJS/234/35/table4&-out=Name&-out=Np&-out=RAJ2000&-out=DEJ2000&-out=Gal&-out=NUVFlux&-out=e_NUVFlux&-out=FUVFlux&-out=e_FUVFlux&-out=3.6Flux&-out=e_3.6Flux&-out=4.5Flux&-out=e_4.5Flux&-out=5.8Flux&-out=e_5.8Flux&-out=8Flux&-out=e_8Flux&-out=24Flux&-out=e_24Flux&-out=uFlux&-out=e_uFlux&-out=gFlux&-out=e_gFlux&-out=rFlux&-out=e_rFlux&-out=iFlux&-out=e_iFlux&-out=zFlux&-out=e_zFlux&-out=Ha+Cont&-out=e_Ha+Cont&-out=Ha&-out=e_Ha&-out=HFlux&-out=e_HFlux&-out=JFlux&-out=e_JFlux&-out=KsFlux&-out=e_KsFlux&-out=SED&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.3	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_22340035
#Name: J/ApJS/234/35
#Title: Stellar population synthesis of clumps (Zaragoza-Cardiel+, 2018)
#INFO	ivoid=ivo://cds.vizier/j/apjs/234/35	    IVOID of underlying data collection
#INFO	creator=Zaragoza-Cardiel J.	    First author or institution
#INFO	cites=bibcode:2018ApJS..234...35Z	    Article or Data origin sources
#INFO	editor=Astrophysical Journal Supplement (AAS)	    Editor name (article)
#INFO	original_date=2018	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/234/35	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.22340035	    Dataset identifier that can be used for citation
#INFO	publication_date=2019-11-11	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_234_35_table4:
#Name: J/ApJS/234/35/table4
#Title: GALEX, Spitzer, SDSS, H{alpha}, and 2MASS photometry for the clumps
#Column	Name	(a27)	Name of the identified clump	[ucd=meta.id;meta.main]
#Column	Np	(I3)	Output parameters for this clump (link to table 5)	[ucd=meta.ref.url]
#Column	RAJ2000	(F11.7)	Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F14.10)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Gal	(A9)	Name of the galaxy	[ucd=meta.id.parent]
#Column	NUVFlux	(F8.4)	[0.001/115]? GALEX NUV band flux	[ucd=phot.flux.density;em.UV.200-300nm]
#Column	e_NUVFlux	(F7.4)	[0.0001/0.2]? Error in NUVFlux (G2)	[ucd=stat.error]
#Column	FUVFlux	(F10.7)	[0.001/86.7]? GALEX FUV band flux	[ucd=phot.flux.density;em.UV.100-200nm]
#Column	e_FUVFlux	(F10.7)	[2e-07/0.1]? Error in FUVFlux (G2)	[ucd=stat.error]
#Column	3.6Flux	(F9.4)	[0.003/2692]? Spitzer/IRAC 3.6um band flux	[ucd=phot.mag;em.IR.3-4um]
#Column	e_3.6Flux	(F7.4)	[0.0004/0.3]? Error in 4.5Flux (G2)	[ucd=stat.error]
#Column	4.5Flux	(F9.4)	[0.003/1697] Spitzer/IRAC 4.5um band flux	[ucd=phot.mag;em.IR.4-8um]
#Column	e_4.5Flux	(F7.4)	[0.0004/0.2]? Error in 4.5Flux (G2)	[ucd=stat.error]
#Column	5.8Flux	(F8.3)	[0.01/2777]? Spitzer/IRAC 5.8um band flux	[ucd=phot.flux.density;em.IR.4-8um]
#Column	e_5.8Flux	(F6.3)	[0.001/0.5]? Error in 5.8Flux (G2)	[ucd=stat.error]
#Column	8Flux	(F8.3)	[0.02/5358] Spitzer/IRAC 8um band flux	[ucd=phot.flux.density;em.IR.8-15um]
#Column	e_8Flux	(F6.3)	[0.002/2]? Error in 8Flux (G2)	[ucd=stat.error]
#Column	24Flux	(F8.3)	[0.06/8890]? Spitzer/MIPS 24um band flux	[ucd=phot.flux.density;em.IR.15-30um]
#Column	e_24Flux	(F5.2)	[0/20]? Error in 24Flux (G2)	[ucd=stat.error]
#Column	uFlux	(F8.4)	[0.009/540]? SDSS u band flux	[ucd=phot.flux.density;em.opt.U]
#Column	e_uFlux	(F7.4)	[0.0009/0.2]? Error in uFlux (G2)	[ucd=stat.error]
#Column	gFlux	(F9.4)	[0.004/1171]? SDSS g band flux	[ucd=phot.mag;em.opt.B]
#Column	e_gFlux	(F7.4)	[0.0006/0.3]? Error in gFlux (G2)	[ucd=stat.error]
#Column	rFlux	(F9.4)	[0.007/2142]? SDSS r band flux	[ucd=phot.flux.density;em.opt.R]
#Column	e_rFlux	(F7.4)	[0.0008/1]? Error in rFlux (G2)	[ucd=stat.error]
#Column	iFlux	(F8.3)	[0.01/2992]? SDSS i band flux	[ucd=phot.flux.density;em.opt.I]
#Column	e_iFlux	(F6.3)	[0.001/1]? Error in iFlux (G2)	[ucd=stat.error]
#Column	zFlux	(F8.3)	[0.03/3744]? SDSS z band flux	[ucd=phot.mag;em.opt.I]
#Column	e_zFlux	(F6.3)	[0.003/0.5]? Error in zFlux (G2)	[ucd=stat.error]
#Column	Ha+Cont	(F9.4)	[0.02/3470]? Halpha plus continuum flux	[ucd=phot.flux;em.line.Halpha]
#Column	e_Ha+Cont	(F7.4)	[0.00001/1]? Error in Ha+Cont (G2)	[ucd=stat.error]
#Column	Ha	(E11.4)	[/1.3e-11]? Halpha continuum subtracted flux	[ucd=phot.flux;em.line.Halpha]
#Column	e_Ha	(F7)	[/8e-15]? Error in Ha	[ucd=stat.error]
#Column	HFlux	(F8.3)	[0.05/6193]? 2MASS H band flux	[ucd=phot.flux.density;em.IR.H]
#Column	e_HFlux	(F6.3)	[0.009/1]? Error in HFlux (G2)	[ucd=stat.error]
#Column	JFlux	(F8.3)	[0.03/5184]? 2MASS J band flux	[ucd=phot.mag;em.IR.J]
#Column	e_JFlux	(F6.3)	[0.006/0.9]? Error in JFlux (G2)	[ucd=stat.error]
#Column	KsFlux	(F8.3)	[0.06/5085]? 2MASS Ks band flux	[ucd=phot.mag;em.IR.K]
#Column	e_KsFlux	(F6.3)	[0.009/1]? Error in KsFlux (G2)	[ucd=stat.error]
#Column	SED	(A3)	UV-FIR SED plot of this source	[ucd=meta.ref.url]
Name	Np	RAJ2000	DEJ2000	Gal	NUVFlux	e_NUVFlux	FUVFlux	e_FUVFlux	3.6Flux	e_3.6Flux	4.5Flux	e_4.5Flux	5.8Flux	e_5.8Flux	8Flux	e_8Flux	24Flux	e_24Flux	uFlux	e_uFlux	gFlux	e_gFlux	rFlux	e_rFlux	iFlux	e_iFlux	zFlux	e_zFlux	Ha+Cont	e_Ha+Cont	Ha	e_Ha	HFlux	e_HFlux	JFlux	e_JFlux	KsFlux	e_KsFlux	SED
 	 	deg	deg	 	mJy	mJy	mJy	mJy	mJy	mJy	mJy	mJy	mJy	mJy	mJy	mJy	mJy	mJy	mJy	mJy	mJy	mJy	mJy	mJy	mJy	mJy	mJy	mJy	mJy	mJy	mW/m2	mW/m2	mJy	mJy	mJy	mJy	mJy	mJy	
---------------------------	---	-----------	--------------	---------	--------	-------	----------	----------	---------	-------	---------	-------	--------	------	--------	------	--------	-----	--------	-------	---------	-------	---------	-------	--------	------	--------	------	---------	-------	-----------	-------	--------	------	--------	------	--------	------	---
Arp104_1_sbt_disk_1_0      	  1	203.0558000	+62.7644310000	NGC5218  	        	       	          	          	   0.1070	 0.0020	   0.0830	 0.0010	   0.181	 0.003	   0.427	 0.006	   1.200	     	  0.0140	       	   0.0430	       	   0.0770	       	   0.110	      	   0.140	      	   0.0870	       	 4.2000e-16	       	   0.140	      	   0.200	 0.020	   0.160	 0.020	SED
Arp104_10_sbt_disk_1_0     	  1	203.0180600	+62.7727770000	NGC5218  	        	       	          	          	   0.0170	 0.0010	   0.0074	       	   0.016	      	   0.053	 0.003	   0.560	 0.03	  0.0100	       	   0.0250	 0.0010	   0.0290	 0.0020	   0.032	 0.002	   0.037	      	   0.0570	       	 3.1000e-16	       	   0.082	      	   0.077	 0.009	   0.072	      	SED
Arp104_2_sbt_disk_1_0      	  1	203.0623900	+62.7670870000	NGC5218  	        	       	          	          	   0.0310	 0.0010	   0.0270	 0.0010	   0.074	 0.004	   0.291	 0.009	   1.540	 0.08	  0.0110	       	   0.0094	       	   0.0160	       	   0.026	      	   0.045	      	   0.0500	 0.0200	 4.0000e-16	  1e-16	   0.130	      	   0.078	      	   0.093	      	SED
Arp104_3_sbt_disk_1_0      	  1	203.0481900	+62.7642310000	NGC5218  	        	       	          	          	   0.6240	 0.0050	   0.3940	 0.0040	   0.760	 0.010	   1.780	 0.020	  11.000	 0.10	  0.0470	 0.0040	   0.1900	 0.0200	   0.3700	 0.0300	   0.530	 0.040	   0.650	 0.060	   1.0500	 0.0300	 6.8000e-15	  2e-16	   1.130	 0.020	   1.160	 0.020	   1.110	 0.020	SED
Arp104_4_sbt_disk_1_0      	  1	203.0408000	+62.7646830000	NGC5218  	        	       	          	          	   0.8200	 0.0100	   0.5460	 0.0070	   1.010	 0.020	   3.310	 0.060	  34.200	 0.10	  0.0270	 0.0040	   0.2200	 0.0200	   0.4600	 0.0400	   0.680	 0.060	   0.820	 0.090	   1.0000	 0.0300	 5.3000e-15	  2e-16	   1.020	 0.070	   1.400	 0.030	   1.080	 0.040	SED
Arp104_5_sbt_disk_1_0      	  1	203.0361300	+62.7657100000	NGC5218  	        	       	          	          	   0.6700	 0.0200	   0.4600	 0.0100	   0.440	 0.020	   0.900	 0.070	  11.600	 0.70	  0.0580	 0.0040	   0.2900	 0.0200	   0.5300	 0.0300	   0.670	 0.050	   0.780	 0.070	   0.6100	       	 8.1000e-16	       	   1.200	 0.060	   1.160	 0.040	   1.370	 0.020	SED
Arp104_6_sbt_disk_1_0      	  1	203.0536400	+62.7696700000	NGC5218  	        	       	          	          	   0.8560	 0.0070	   0.5320	 0.0040	   1.360	 0.010	   3.980	 0.030	   6.700	 0.20	  0.0330	 0.0030	   0.1500	 0.0100	   0.3500	 0.0300	   0.580	 0.040	   0.730	 0.050	   0.7100	 0.0200	 3.4000e-15	  2e-16	   1.250	 0.040	   1.300	 0.020	   1.190	 0.030	SED
Arp104_7_sbt_disk_1_0      	  1	203.0217400	+62.7628940000	NGC5218  	        	       	          	          	   0.1230	 0.0010	   0.0760	 0.0010	   0.096	 0.004	   0.271	 0.006	   0.400	     	  0.0130	       	   0.0680	 0.0040	   0.1100	 0.0070	   0.117	 0.008	   0.170	 0.010	   0.1300	       	 3.3000e-16	       	   0.360	 0.020	   0.304	 0.009	   0.130	      	SED
Arp104_8_sbt_disk_1_0      	  1	203.0302700	+62.7671950000	NGC5218  	        	       	          	          	   0.7800	 0.0100	   0.5640	 0.0070	   1.780	 0.020	   4.700	 0.060	   7.100	 0.40	  0.0690	 0.0030	   0.2400	 0.0100	   0.4200	 0.0200	   0.510	 0.030	   0.640	 0.040	   2.4900	 0.0300	 2.2600e-14	  2e-16	   1.050	 0.030	   0.990	 0.030	   0.980	 0.030	SED
Arp104_9_sbt_disk_1_0      	  1	203.0347100	+62.7685820000	NGC5218  	        	       	          	          	   2.1600	 0.0200	   1.4100	 0.0100	   2.470	 0.030	   6.430	 0.080	  18.400	 0.50	  0.1340	 0.0040	   0.6900	 0.0200	   1.3700	 0.0300	   1.970	 0.050	   2.610	 0.070	   2.3400	 0.0400	 1.0600e-14	  2e-16	   4.040	 0.070	   3.610	 0.060	   3.850	 0.060	SED
Arp120_10_sbt_disk_1_0     	  1	186.9057000	+12.9724780000	NGC4438  	  0.0381	 0.0003	 0.0171000	 0.0003000	   0.3820	 0.0040	   0.1530	 0.0040	   0.410	 0.010	   0.120	 0.010	        	     	  0.1780	 0.0020	   0.3450	 0.0010	   0.4560	 0.0010	   0.531	 0.002	   0.584	 0.006	         	       	           	       	   0.320	      	   0.500	 0.030	   0.320	      	SED
Arp120_11_sbt_disk_1_0     	  0	186.9264500	+12.9984260000	NGC4438  	  0.0229	 0.0007	 0.0094000	 0.0006000	   2.2620	 0.0090	   1.4520	 0.0060	   1.600	 0.020	   1.890	 0.020	   0.710	     	  0.0250	 0.0020	   0.5240	 0.0080	   1.2900	 0.0200	   2.100	 0.020	   2.270	 0.030	   2.0400	 0.0700	 6.2000e-15	  4e-16	   5.430	 0.080	   4.340	 0.040	   4.170	 0.080	SED
Arp120_12_sbt_disk_1_0     	  0	186.9335400	+12.9908790000	NGC4438  	  0.0850	 0.0006	 0.0495000	 0.0005000	   3.9600	 0.0100	   2.3600	 0.0080	   3.070	 0.020	   6.290	 0.020	 120.000	20.00	  0.2410	 0.0020	   1.5880	 0.0060	   2.9200	 0.0100	   4.210	 0.020	   4.810	 0.020	   3.5000	       	 1.1000e-15	       	   8.270	 0.070	   5.920	 0.060	   6.360	 0.070	SED
Arp120_4_sbt_disk_1_0      	  0	186.9055600	+12.9913390000	NGC4438  	  0.0015	 0.0002	 0.0081000	 0.0003000	   0.2140	 0.0050	   0.1130	 0.0040	   0.086	      	   0.187	 0.009	        	     	  0.0310	 0.0020	   0.0478	 0.0009	   0.0380	 0.0010	   0.086	 0.002	   0.112	 0.006	   0.2500	       	 9.2000e-16	       	   0.300	      	   0.530	 0.030	   0.290	      	SED
Arp120_5_sbt_disk_1_0      	  1	186.8952800	+12.9666720000	NGC4438  	  0.0189	 0.0002	 0.0195000	 0.0002000	   0.3580	 0.0040	   0.1220	 0.0050	   0.091	      	   0.300	 0.020	        	     	  0.0650	 0.0020	   0.3380	 0.0010	   0.4370	 0.0010	   0.506	 0.002	   0.535	 0.006	         	       	           	       	   0.470	 0.040	   0.830	 0.020	   0.550	 0.040	SED
